Catagery	Object_int_name	Object_Ext_name	Field_int_name	Field_ext_name	Field_type	Geom_type	Join_type	Relation	Is_Enum	Enum_values	Data_type
lnd_address	lnd_address	Address	lnd_building	Building	dd_join_field	No	Building	0:n	No		NA
lnd_address	lnd_address	Address	county_name	County Name	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_address	lnd_address	Address	street_name_prefix	Street Name Prefix	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_address	lnd_address	Address	city_name	City Name	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_address	lnd_address	Address	zip	Zip	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_address	lnd_address	Address	state_name	State Name	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_address	lnd_address	Address	location	Location	dd_geom_field	simple_point	No	No	No		NA
lnd_address	lnd_address	Address	street_name	Street Name	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_address	lnd_address	Address	street_name_suffix	Street Name Suffix	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_address	lnd_address	Address	source_id	Source ID	dd_phys_field	No	No	No	No		integer
lnd_address	lnd_address	Address	house_number_suffix	House Number Suffix	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_address	lnd_address	Address	leader_line	Leader Line	dd_geom_field	simple_chain	No	No	No		NA
lnd_address	lnd_address	Address	id	ID	dd_phys_field	No	No	No	No		integer
lnd_address	lnd_address	Address	country_name	Country Name	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_address	lnd_address	Address	remarks_id	remarks_id	dd_phys_field	No	No	No	No		integer
lnd_address	lnd_address	Address	annotation	Annotation	dd_geom_field	text	No	No	No		NA
lnd_address	lnd_address	Address	house_number	House Number	dd_phys_field	No	No	No	No		integer
lnd_address	lnd_address	Address	source_data_date	Source Data Date	dd_phys_field	No	No	No	No		ds_date
lnd_address	lnd_address	Address	lnd_street_segment	Street Segment	dd_join_field	No	Road Centerline	0:n	No		NA
lnd_address	lnd_address	Address	full_name	Full Name	dd_derived_field	No	No	No	No		ds_char16_vector
lnd_address	lnd_address	Address	street_name_type	Street Name Type	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_address	lnd_address	Address	soundex	Soundex	dd_phys_field	No	No	No	No		integer
lnd_address	lnd_address	Address	township_name	Township Name	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_address	lnd_address	Address	source_data	Source Data	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_airport	lnd_airport	Airport	id	ID	dd_phys_field	No	No	No	No		integer
lnd_airport	lnd_airport	Airport	name	Name	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_airport	lnd_airport	Airport	remarks_id	remarks_id	dd_phys_field	No	No	No	No		integer
lnd_airport	lnd_airport	Airport	type	Type	dd_phys_field	No	No	No	Yes	,Balloon Port,Domestic,Heliport,International,Military,Private,Seaplane Base,Ultralight Flight park,Unknown	NA
lnd_airport	lnd_airport	Airport	status	Status	dd_phys_field	No	No	No	Yes	,Abandoned,Existing,Inactive,Planned,Released,Removed,Temporary	NA
lnd_airport	lnd_airport	Airport	source_id	Source ID	dd_phys_field	No	No	No	No		integer
lnd_airport	lnd_airport	Airport	int_location	International Location	dd_geom_field	simple_point	No	No	No		NA
lnd_airport	lnd_airport	Airport	ult_annotation	Ultralight Flight Park Annotation	dd_geom_field	text	No	No	No		NA
lnd_airport	lnd_airport	Airport	location_id	Location ID	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_airport	lnd_airport	Airport	bal_runway_extent	Balloon Port Runway Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	mil_runway_extent	Military Runway Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	extent	Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	sea_location	Seaplane Base Location	dd_geom_field	simple_point	No	No	No		NA
lnd_airport	lnd_airport	Airport	pri_runway_extent	Private Runway Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	hel_extent	Heliport Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	sea_runway_extent	Seaplane Base Runway Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	hel_annotation	Heliport Annotation	dd_geom_field	text	No	No	No		NA
lnd_airport	lnd_airport	Airport	sea_annotation	Seaplane Base Annotation	dd_geom_field	text	No	No	No		NA
lnd_airport	lnd_airport	Airport	bal_annotation	Balloon Port Annotation	dd_geom_field	text	No	No	No		NA
lnd_airport	lnd_airport	Airport	int_runway_extent	International Runway Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	ult_runway_extent	Ultralight Flight Park Runway Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	pri_annotation	Private Annotation	dd_geom_field	text	No	No	No		NA
lnd_airport	lnd_airport	Airport	runway_extent	Runway Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	hel_location	Heliport Location	dd_geom_field	simple_point	No	No	No		NA
lnd_airport	lnd_airport	Airport	dom_annotation	Domestic Annotation	dd_geom_field	text	No	No	No		NA
lnd_airport	lnd_airport	Airport	mil_extent	Military Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	annotation	Annotation	dd_geom_field	text	No	No	No		NA
lnd_airport	lnd_airport	Airport	bal_extent	Balloon Port Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	dom_extent	Domestic Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	bal_location	Balloon Port Location	dd_geom_field	simple_point	No	No	No		NA
lnd_airport	lnd_airport	Airport	dom_location	Domestic Location	dd_geom_field	simple_point	No	No	No		NA
lnd_airport	lnd_airport	Airport	source_data_date	Source Data Date	dd_phys_field	No	No	No	No		ds_date
lnd_airport	lnd_airport	Airport	ult_location	Ultralight Flight Park Location	dd_geom_field	simple_point	No	No	No		NA
lnd_airport	lnd_airport	Airport	remarks_annotation	Remarks Annotation	dd_geom_field	text	No	No	No		NA
lnd_airport	lnd_airport	Airport	dom_runway_extent	Domestic Runway Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	int_extent	International Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	source_data	Source Data	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_airport	lnd_airport	Airport	sea_extent	Seaplane Base Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	mil_location	Military Location	dd_geom_field	simple_point	No	No	No		NA
lnd_airport	lnd_airport	Airport	pri_extent	Private Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	ult_extent	Ultralight Flight Park Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	hel_runway_extent	Heliport Runway Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	int_annotation	International Annotation	dd_geom_field	text	No	No	No		NA
lnd_airport	lnd_airport	Airport	mil_annotation	Military Annotation	dd_geom_field	text	No	No	No		NA
lnd_airport	lnd_airport	Airport	location	Location	dd_geom_field	simple_point	No	No	No		NA
lnd_airport	lnd_airport	Airport	crash_zone_extent	Crash Zone Extent	dd_geom_field	area	No	No	No		NA
lnd_airport	lnd_airport	Airport	pri_location	Private Location	dd_geom_field	simple_point	No	No	No		NA
lnd_annexation	lnd_annexation	Annexation	source_data_date	Source Data Date	dd_phys_field	No	No	No	No		ds_date
lnd_annexation	lnd_annexation	Annexation	remarks_id	remarks_id	dd_phys_field	No	No	No	No		integer
lnd_annexation	lnd_annexation	Annexation	name	Name	dd_derived_field	No	No	No	No		ds_char16_vector
lnd_annexation	lnd_annexation	Annexation	lnd_city	City	dd_join_field	No	City	1:n	No		NA
lnd_annexation	lnd_annexation	Annexation	number	Number	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_annexation	lnd_annexation	Annexation	annexation_date	Annexation Date	dd_phys_field	No	No	No	No		ds_date
lnd_annexation	lnd_annexation	Annexation	id	ID	dd_phys_field	No	No	No	No		integer
lnd_annexation	lnd_annexation	Annexation	extent	Extent	dd_geom_field	area	No	No	No		NA
lnd_annexation	lnd_annexation	Annexation	annotation	Annotation	dd_geom_field	text	No	No	No		NA
lnd_annexation	lnd_annexation	Annexation	lnd_city_id	Lnd City Id	dd_phys_field	No	No	No	No		integer
lnd_annexation	lnd_annexation	Annexation	remarks_annotation	Remarks Annotation	dd_geom_field	text	No	No	No		NA
lnd_annexation	lnd_annexation	Annexation	source_id	Source ID	dd_phys_field	No	No	No	No		integer
lnd_annexation	lnd_annexation	Annexation	source_data	Source Data	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_annexation	lnd_annexation	Annexation	leader_line	Leader Line	dd_geom_field	simple_chain	No	No	No		NA
lnd_annexation	lnd_annexation	Annexation	status	Status	dd_phys_field	No	No	No	Yes	,Abandoned,Existing,Inactive,Planned,Released,Removed,Temporary	NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	unassigned_assignment_annotation	Unassigned Assignment Annotation	dd_geom_field	text	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	extent	Extent	dd_geom_field	area	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	iou_name_annotation	Investor Owned Utility Name Annotation	dd_geom_field	text	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	unassigned_extent	Unassigned Extent	dd_geom_field	area	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	company_assignment_annotation	Company Assignment Annotation	dd_geom_field	text	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	municip_extent	Municipality Extent	dd_geom_field	area	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	co_op_name_annotation	Co-op Name Annotation	dd_geom_field	text	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	company_name_annotation	Company Name Annotation	dd_geom_field	text	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	iou_assignment_annotation	Investor Owned Utility Assignment Annota	dd_geom_field	text	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	unassigned_name_annotation	Unassigned Name Annotation	dd_geom_field	text	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	source_id	Source ID	dd_phys_field	No	No	No	No		integer
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	co_op_assignment_annotation	Co-op Assignment Annotation	dd_geom_field	text	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	remarks_annotation	Remarks Annotation	dd_geom_field	text	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	id	ID	dd_phys_field	No	No	No	No		integer
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	assignment_annotation	Assignment Annotation	dd_geom_field	text	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	municip_assignment_annotation	Municipality Assignment Annotation	dd_geom_field	text	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	remarks_id	remarks_id	dd_phys_field	No	No	No	No		integer
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	company_extent	Company Extent	dd_geom_field	area	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	municip_name_annotation	Municipality Name Annotation	dd_geom_field	text	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	source_data_date	Source Data Date	dd_phys_field	No	No	No	No		ds_date
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	name	Name	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	assignment	Assignment	dd_phys_field	No	No	No	Yes	,Co-op,Company,Investor Owned Utility,Municipality,Unassigned,Unknown	NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	co_op_extent	Co-op Extent	dd_geom_field	area	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	source_data	Source Data	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	iou_extent	Investor Owned Utility Extent	dd_geom_field	area	No	No	No		NA
lnd_assigned_service_territory	lnd_assigned_service_territory	Assigned Service Territory	name_annotation	Name Annotation	dd_geom_field	text	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	route	Route	dd_geom_field	chain	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	temporary_extent	Temporary Extent	dd_geom_field	simple_area	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	remarks_annotation	Remarks Annotation	dd_geom_field	text	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	clearance	Clearance	dd_phys_field	No	No	No	No		float
lnd_bridge	lnd_bridge	Bridge	planned_annotation	Planned Annotation	dd_geom_field	text	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	location	Location	dd_geom_field	point	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	temporary_location	Temporary Location	dd_geom_field	point	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	leader_line	Leader Line	dd_geom_field	simple_chain	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	status	Status	dd_phys_field	No	No	No	Yes	,Abandoned,Existing,Inactive,Planned,Released,Removed,Temporary	NA
lnd_bridge	lnd_bridge	Bridge	remarks_id	remarks_id	dd_phys_field	No	No	No	No		integer
lnd_bridge	lnd_bridge	Bridge	source_data	Source Data	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_bridge	lnd_bridge	Bridge	name	Name	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_bridge	lnd_bridge	Bridge	existing_location	Existing Location	dd_geom_field	point	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	rated_load	Rated Load	dd_phys_field	No	No	No	No		float
lnd_bridge	lnd_bridge	Bridge	planned_route	Planned Route	dd_geom_field	chain	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	planned_location	Planned Location	dd_geom_field	point	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	number	Number	dd_phys_field	No	No	No	No		ds_char16_vector
lnd_bridge	lnd_bridge	Bridge	type	Type	dd_phys_field	No	No	No	Yes	,Concrete Box Culvert,Covered,Span,Suspension,Unknown	NA
lnd_bridge	lnd_bridge	Bridge	posted_load	Posted Load	dd_phys_field	No	No	No	No		float
lnd_bridge	lnd_bridge	Bridge	temporary_annotation	Temporary Annotation	dd_geom_field	text	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	existing_route	Existing Route	dd_geom_field	chain	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	extent	Extent	dd_geom_field	simple_area	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	planned_extent	Planned Extent	dd_geom_field	simple_area	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	existing_annotation	Existing Annotation	dd_geom_field	text	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	existing_extent	Existing Extent	dd_geom_field	simple_area	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	width	Width	dd_phys_field	No	No	No	No		float
lnd_bridge	lnd_bridge	Bridge	source_data_date	Source Data Date	dd_phys_field	No	No	No	No		ds_date
lnd_bridge	lnd_bridge	Bridge	id	ID	dd_phys_field	No	No	No	No		integer
lnd_bridge	lnd_bridge	Bridge	source_id	Source ID	dd_phys_field	No	No	No	No		integer
lnd_bridge	lnd_bridge	Bridge	annotation	Annotation	dd_geom_field	text	No	No	No		NA
lnd_bridge	lnd_bridge	Bridge	temporary_route	Temporary Route	dd_geom_field	chain	No	No	No		NA
