Catagery	Object_int_name	Object_Ext_name	Field_int_name	Field_ext_name	Field_type	Geom_type	Join_type	Relation	Is_Enum	Enum_values	Data_type	Mandatory	Field Size
Circuit	eo_operational_group	Operational Group	remarks_annotation	Remarks Annotation	dd_geom_field	text	No	No	No		NA	No	10
Circuit	eo_operational_group	Operational Group	components	Components	dd_join_field	No	3-Winding Transformer Installation	0:N	No		NA	No	20
Circuit	eo_operational_group	Operational Group	owner_type	Owner Type	dd_phys_field	No	No	No	Yes	,,Company Owned,Customer,Customer Owned,Electric Utility-TPSODL,Foreign Owned,Other Utility Owned,Unknown	NA	Yes	9
Circuit	eo_operational_group	Operational Group	extent	Extent	dd_geom_field	simple_area	No	No	No		NA	No	10
Circuit	eo_operational_group	Operational Group	name	Name	dd_phys_field	No	No	No	No		ds_char16_vector	No	4096
Circuit	eo_operational_group	Operational Group	annotation	Annotation	dd_geom_field	text	No	No	No		NA	No	10
Circuit	eo_operational_group	Operational Group	id	Id	dd_phys_field	No	No	No	No		integer	Yes	10
Circuit	eo_operational_group	Operational Group	owner_name	Owner Name	dd_phys_field	No	No	No	Yes	,,Cable Company,Customer,Electric Utility,Telephone Company,Unknown	NA	No	10
Circuit	eo_operational_group	Operational Group	remarks_id	Remarks Id	dd_phys_field	No	No	No	No		integer	Yes	10
Circuit	eo_circuit_section	Circuit Section	remarks_id	remarks_id	dd_phys_field	No	No	No	No		integer	Yes	10
Circuit	eo_circuit_section	Circuit Section	circuit_id	Internal Circuit ID	dd_phys_field	No	No	No	No		integer	Yes	10
Circuit	eo_circuit_section	Circuit Section	annotations	Annotations	dd_join_field	No	Circuit Section Annotation	1:n	No		NA	No	20
Circuit	eo_circuit_section	Circuit Section	number	Number	dd_phys_field	No	No	No	No		ds_char16_vector	No	40
Circuit	eo_circuit_section	Circuit Section	asset_feed	Asset Feed	dd_join_field	No	3-Winding Transformer Installation	M:N	No		NA	No	20
Circuit	eo_circuit_section	Circuit Section	boundary_assets	Boundary Assets	dd_join_field	No	3-Winding Transformer Installation	M:N	No		NA	No	20
Circuit	eo_circuit_section	Circuit Section	circuit_section_id	Circuit Section ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Circuit	eo_circuit_section	Circuit Section	extents	Extents	dd_join_field	No	Circuit Section Extent	1:n	No		NA	No	20
Circuit	eo_circuit_section	Circuit Section	date_last_updated	Date Last Updated	dd_phys_field	No	No	No	No		ds_date	No	19
Circuit	eo_circuit_section	Circuit Section	section_type	Section Type	dd_phys_field	No	No	No	Yes	,,Circuit Source Section,Isolatable Section	NA	Yes	40
Circuit	eo_circuit_section	Circuit Section	circuit_sources	Circuit Sources	dd_join_field	No	Circuit Source	0:n	No		NA	No	20
Circuit	eo_circuit_section	Circuit Section	structures	Structures	dd_join_field	No	Cross Arm	M:N	No		NA	No	20
