Enum Name	Enum Value
tp_land_sub_division_name	R.udaygiri
tp_land_sub_division_name	Sub.division No-4
eo_line_voltage	Unit_value((13*2.0**4), :v)
eo_line_voltage	Unit_value((55*2.0**2), :kv)
eo_line_voltage	Unit_value((55*2.0**2), :v)
eo_line_voltage	Unit_value((115*2.0), :v)
eo_line_voltage	Unit_value((15*2.0**4), :v)
eo_line_voltage	Unit_value((415.0), :v)
eo_line_voltage	Unit_value((433.0), :kv)
eo_line_voltage	Unit_value((0.000), :v)
eo_line_voltage	Unit_value((110.000), :v)
eo_line_voltage	Unit_value((120.000), :v)
eo_line_voltage	Unit_value((230.000), :v)
eo_line_voltage	Unit_value((415.000), :v)
eo_line_voltage	Unit_value((2.400), :kv)
eo_line_voltage	Unit_value((4.160), :kv)
eo_line_voltage	Unit_value((6.600), :kv)
eo_line_voltage	Unit_value((8.000), :kv)
eo_line_voltage	Unit_value((11.000), :kv)
eo_line_voltage	Unit_value((12.470), :kv)
eo_line_voltage	Unit_value((23.900), :kv)
eo_line_voltage	Unit_value((33.000), :kv)
eo_line_voltage	Unit_value((66.000), :kv)
eo_line_voltage	Unit_value((115.000), :kv)
eo_line_voltage	Unit_value((132.000), :kv)
eo_line_voltage	Unit_value((220.000), :kv)
eo_line_voltage	Unit_value((5404319552844595*2.0**-51), :kv)
eo_line_voltage	Unit_value((1170935903116329*2.0**-48), :kv)
eo_line_voltage	Unit_value((3715469692580659*2.0**-49), :kv)
eo_line_voltage	Unit_value((1*2.0**3), :kv)
eo_line_voltage	Unit_value((11.0), :kv)
eo_line_voltage	Unit_value((7019985919163761*2.0**-49), :kv)
eo_line_voltage	Unit_value((3363625971692339*2.0**-47), :kv)
eo_line_voltage	Unit_value((33.0), :kv)
eo_line_voltage	Unit_value((33*2.0), :kv)
eo_line_voltage	Unit_value((55*2.0), :v)
eo_line_voltage	Unit_value((115.0), :kv)
eo_line_voltage	Unit_value((15*2.0**3), :v)
eo_line_voltage	Unit_value((33*2.0**2), :kv)
eo_line_voltage	Unit_value((13*2.0**4), :v)
eo_line_voltage	Unit_value((55*2.0**2), :v)
eo_line_voltage	Unit_value((15*2.0**4), :v)
eo_line_voltage	Unit_value((240.000), :v)
tp_xfrmr_capacity	Unit_value((10.000), :kv)
tp_xfrmr_capacity	Unit_value((16.000), :kv)
tp_xfrmr_capacity	Unit_value((25.000), :kv)
tp_xfrmr_capacity	Unit_value((50.000), :kv)
tp_xfrmr_capacity	Unit_value((63.000), :kv)
tp_xfrmr_capacity	Unit_value((75.000), :kv)
tp_xfrmr_capacity	Unit_value((100.000), :kv)
tp_xfrmr_capacity	Unit_value((125.000), :kv)
tp_xfrmr_capacity	Unit_value((150.000), :kv)
tp_xfrmr_capacity	Unit_value((160.000), :kv)
tp_xfrmr_capacity	Unit_value((200.000), :kv)
tp_xfrmr_capacity	Unit_value((220.000), :kv)
tp_xfrmr_capacity	Unit_value((250.000), :kv)
tp_xfrmr_capacity	Unit_value((300.000), :kv)
tp_xfrmr_capacity	Unit_value((315.000), :kv)
tp_xfrmr_capacity	Unit_value((350.000), :kv)
tp_xfrmr_capacity	Unit_value((400.000), :kv)
tp_xfrmr_capacity	Unit_value((415.000), :kv)
tp_xfrmr_capacity	Unit_value((500.000), :kv)
tp_xfrmr_capacity	Unit_value((630.000), :kv)
tp_xfrmr_capacity	Unit_value((650.000), :kv)
tp_xfrmr_capacity	Unit_value((750.000), :kv)
tp_xfrmr_capacity	Unit_value((800.000), :kv)
tp_xfrmr_capacity	Unit_value((900.000), :kv)
tp_xfrmr_capacity	Unit_value((950.000), :kv)
tp_xfrmr_capacity	Unit_v
