Enum Name	Enum Value
tp_land_division_name	Aska-i
tp_land_division_name	Aska-ii
tp_land_division_name	Bed-2
tp_land_division_name	Berhampur-i
tp_land_division_name	Berhampur-iii
tp_land_division_name	Bhanja Nagar
tp_land_division_name	Digapahandi
tp_land_division_name	Parlakshemundi
tp_land_division_name	Purusottampur
tp_land_section_name	Eso Adaba
tp_land_section_name	Eso B.singipur
tp_land_section_name	Eso Bijipur
tp_land_section_name	Eso Budhaamba
tp_land_section_name	Eso Dabugaon
tp_land_section_name	Eso Lanjipalli
tp_land_section_name	Eso Nabarangapur
tp_land_section_name	Eso Nuagam-i
tp_land_section_name	Eso Nuagam-ii
tp_land_section_name	Eso Parlakhemundi
tp_land_section_name	Eso Phiringai
tp_land_sub_division_name	Jeypore Sdo-i
tp_land_sub_division_name	Jeypore Sdo-ii
tp_land_sub_division_name	K S Nagar
tp_land_sub_division_name	Manamunda
tp_land_sub_division_name	Nuagaon
tp_land_sub_division_name	P S Pur
tp_land_sub_division_name	Parlakhemundi
tp_land_sub_division_name	R.udaygiri
tp_land_sub_division_name	Rayagada
tp_land_sub_division_name	Soroda
tp_land_sub_division_name	Sub.div.no-2
tp_land_sub_division_name	Sub.division No-1
tp_land_sub_division_name	Sub.division No-3
tp_land_sub_division_name	Sub.division No-4
tp_land_sub_division_name	Theruballi
tp_land_sub_division_name	Umarkot
eo_line_voltage	Unit_value((13*2.0**4), :v)
eo_line_voltage	Unit_value((55*2.0**2), :kv)
eo_line_voltage	Unit_value((55*2.0**2), :v)
eo_line_voltage	Unit_value((115*2.0), :v)
eo_line_voltage	Unit_value((15*2.0**4), :v)
eo_line_voltage	Unit_value((415.0), :v)
eo_line_voltage	Unit_value((433.0), :kv)
eo_line_voltage	Unit_value((0.000), :v)
eo_line_voltage	Unit_value((110.000), :v)
eo_line_voltage	Unit_value((120.000), :v)
eo_line_voltage	Unit_value((230.000), :v)
eo_line_voltage	Unit_value((415.000), :v)
eo_line_voltage	Unit_value((2.400), :kv)
eo_line_voltage	Unit_value((4.160), :kv)
eo_line_voltage	Unit_value((6.600), :kv)
eo_line_voltage	Unit_value((8.000), :kv)
eo_line_voltage	Unit_value((11.000), :kv)
eo_line_voltage	Unit_value((12.470), :kv)
eo_line_voltage	Unit_value((23.900), :kv)
eo_line_voltage	Unit_value((33.000), :kv)
eo_line_voltage	Unit_value((66.000), :kv)
eo_line_voltage	Unit_value((115.000), :kv)
eo_line_voltage	Unit_value((132.000), :kv)
eo_line_voltage	Unit_value((220.000), :kv)
eo_line_voltage	Unit_value((5404319552844595*2.0**-51), :kv)
eo_line_voltage	Unit_value((1170935903116329*2.0**-48), :kv)
eo_line_voltage	Unit_value((3715469692580659*2.0**-49), :kv)
eo_line_voltage	Unit_value((1*2.0**3), :kv)
eo_line_voltage	Unit_value((11.0), :kv)
