Enum Type Name	Enum Values
audit_history_event_types	Delete;Insert;Interface;Migrate;Replace;Unknown;Update;
drawing_function_evaluation	On Insert;Post-Redraw;Pre-Redraw;
drawing_orientation	Landscape;Portrait;
drawing_scale	1:1;1:10;1:100;1:1000;1:16;1:25;1:250;1:32;1:4;1:50;1:500;1:64;1:8;
dunits_descr	10*Nanometre;100*Nanometre;Centimetre;Decimetre;Feet;Hectometre;Kilometre;Metre;Micrometre;Millimetre;Nanometre;inch;
land_datum_type	;NAD27;NAD83;Unknown;
land_easement_type	Access Agreement;Alley;Conservation;Drainage;Drainage & Utility;Easement;Foreign Electric;Foreign Gas;Legal Drain;Non-Access;Other;Sewer/Sanitation;Sink Hole;Unknown;Water;
land_owner_type	Company Owned;Customer Owned;Foreign Owned;TelCo;Unknown;
land_status_type	Abandoned;Existing;Inactive;Planned;Released;Removed;Temporary;
land_survey_type	GPS;Survey Benchmark;Transmission Benchmark;Unknown;
land_yes_no	No;Unknown;Yes;
ld_service_region_type	Entire Region;Operating Area;Unknown;
lnd_airport_type	Balloon Port;Domestic;Heliport;International;Military;Private;Seaplane Base;Ultralight Flight park;Unknown;
lnd_assigned_terr_type	Co-op;Company;Investor Owned Utility;Municipality;Unassigned;Unknown;
lnd_bridge_type	Concrete Box Culvert;Covered;Span;Suspension;Unknown;
lnd_city_type	City;Community;Town;Unknown;Village;
lnd_comm_comp_type	Commercial Site;Industrial Complex;Motel/Hotel;Not Listed;Office Complex;Restaurant;Shopping center;Unknown;
lnd_community_type	Community Incorporated;Community Non-Incorporated;Neighborhood;Suburb;Unknown;
lnd_comp_fac_type	Business Office;Combustion Turbine Station;Company Office;District Office;Fossil Station;Fueling Site;Garage;Heliport;Hydro Station;Nuclear Station;Operations center;Other;Pay Agent;Staging Area;Telcomm Site;Unknown;
lnd_endangered_species_type	;Community;Invertebrate;Not Listed;Plant;Unknown;Vertebrate;
lnd_env_buffer_type	Drinking;Ecological;Historic;Navigable;Riparian;Unknown;
lnd_facility_buffer_type	;Nuclear Plant;Other Plant;Substation;
lnd_facility_type	;Overhead;Overhead & Underground;Underground;
lnd_flood_plain_type	10;100;25;5;50;500;Unknown;
lnd_grid_size	100;200;400;50;800;Unknown;
lnd_institution_type	Assisted Living;Cemetery;College;Hospital;Medical Office;Other;Place of Worship;School;Unknown;
lnd_milepost_type	Railroad;Street;Unknown;
lnd_misc_lb_type	Dam;Driveway;Edge of Pavement;Fence;Lock;Not Listed;Pedestrian Bridge;Sidewalk;Unknown;
lnd_org_area_anno_type	Name;Number;Organizational Responsibility;
lnd_org_area_type	Distribution Callout Area;Distribution Engineering Area;Distribution Operating Area;Distribution ROW Area;Distribution Reliability Area;Distribution Scheduling Area;Distribution Zone;Electric Area;Electric Distribution Design Area;Electric District Area;Gas Area;Gas District Area;Region;Transmission Line Maintenance;Transmission Operating Area;Transmission ROW Area;Trouble Call Boundary;Underground Locating Area;
lnd_owner_type	;Company Owned;Customer Owned;Foreign Owned;Unknown;
lnd_park_type	City;County;National Forest;National Park;Not Listed;State Forest;State Park;Unknown;
lnd_property_interest_type	Easement;Fee Owned;Leased;
lnd_public_comp_type	Fire Department;Government Facility;Jail/Prison;Library;Not Listed;Police Department;Post Office;Unknown;Water/Sewer System;
lnd_railroad_type	Central Line;Harbour Line;Main Line;Metro;Monorail;Not Available;Not on List;Others;Spur Track;Unknown;Western Line;Yard Track;
lnd_range_directional	;E;W;
lnd_recreational_area_type	Amphitheater;Amusement Park;Casino;Community Rec Center;Fairgrounds;Golf Course;Museum;Ski Area;Speedway/Raceway;Sports Field;Stadium/Arena;Unknown;Water Park;Zoo/Aquarium;
lnd_res_comp_type	Apartment/Condo;Mixed use;Not Listed;Subdivision;Unknown;
lnd_restricted_area_type	Airports;Amish;Central Banks;Chemical Industries;Downtown Underground Area;Govt Quarters;High Fault Area;Historical;Military;Mine;Nature Preserve;Not Listed;Police Quarters;Political Offices;Sink Hole;Superfund site;Unknown;
lnd_section_type	CMG;DON;LOC;MRL;RES;SEC;SUR;
lnd_sensitive_area_type	Bald Eagle Nest;Brush;Culvert;Customer Info;Encroachment;Erosion;Fence;Gate;No Herbicide;Not Listed;Osprey Nest;Power for Wildlife;Tree;Unknown;
lnd_storage_tank_material	Armor;Bare Steel;Carbon Steel;Cath. Steel;Composite;Concrete;Double Walled;Epoxy Steel;Excavation Liner;Fiberglass;Lined Interior;Not Marked;Painted Externally;Poly Warp Ext.;Steel;Stip-3;Unknown;
lnd_storage_tank_type	Above Ground;Below Ground;Unknown;
lnd_street_class	Interstate;Arterial;Collector;Local;Trail;Special;US;State;Ramp;Unpaved;Access;Not Listed;Unknown;
lnd_subdiv_type	Subdivision;Unknown;
lnd_tax_district_type	City/Town;Corporation;County;Fire;Historical;Hospital;Inner Flood Wall;Library;Non-taxable;Not Listed;Outer Flood Wall;Police;School;Special;Township;Water/Sewer/Sanitation;
lnd_tier_directional	;N;S;
lnd_urban_area_type	City;Community;Neighborhood;Settlement;Suburb;Town;Unknown;Village;
lnd_waterbody_type	Bay;Canal;Drainage;Dry Detention Area;Gravel Pit;Lake;Marsh;Nallah;Ocean;Other;Pond;Pool;Quarry;Reservoir;River;Sea;Sound;Swamp;Swimming Pool;Unknown;Well;
lnd_waterway_type	Canal;Channel;Creek;Ditch;Legal Drain;River;Scenic River;Stream;Unknown;
map_grid_map_type	Electric;Gas;General;Land;Unknown;
swg_dsn_change_driver	;Unknown;
tp_environment_type	;Costal Area;Elepant Corridor;Forest Area;Hill Area;TerrainArea;Unknown;
tp_green_type	;Agricultural;Elepant Corridor;Forest;Garden;Hill Area;Others;Park;Traffic Island;Unknown;
tp_land_asset_type	;Not-regulated;Regulated;Unknown;
tp_land_authority	;CPWD;Gram Panchayat;Muncipal Corporation;NHAI;Odisha State Highway Authority;Others;PWD;Private;Unknown;
tp_land_building_type	;Apartment/Condominium;Arena/Public Assembly;Church;Commercial;Day Care Center;Duplex;Educational;Entertainment;Fire Brigade;Golf Course Clubhouse;Government;Govt. Buildings;Health Care Center;Industrial;Light Industry/Office;Manufacturing;Mixed;Motel/Hotel;Multi Family;Other;Park;Parking Lot/Structure;Prison;Public service;Residential;School;Shopping Center/Retail;Single Family;Sports;Transport;Unknown;Warehouse;Worship;
tp_land_builtup_type	;Commercial;Defence Establishments;Educational Areas;Industrial Areas;Institutional;Medical;Mixed;Other;Recreational;Residential;Residential Individual;Rural;Unknown;
tp_land_circle_name	;Aska;Berhampur;Bhanjarnagar;City Circle;Jeypore;Rayagada;Unknown;
tp_land_city_name	;Unknown;
tp_land_construction_type	;Completed;Not Available;Under Construction;Unknown;
tp_land_corridor_type	;Concrete;Kaccha;Other;Paver Block;Tar;Unknown;
tp_land_district_name	;Unknown;
tp_land_division_name	;Aska-1;Aska-2;Berhampur Division-1;Berhampur Division-2;Berhampur Division-3;Bhanjanagar;Boudh;Ganjam North;Ganjam South;Gunupur;Hinjilicut;Jeypore;Koraput;Malkangiri;Nawarangpur;Paralakhemundi;Phulbani;Purushottampur;Rayagada;Unknown;
tp_land_importance	;High;Low;Medium;Not avaliable;Unknown;
tp_land_locality_name	;Unknown;
tp_land_non_builtup_type	;Caves;Cemetry;Graveyard;Hills;Marshy Land;Mines;Open Space;Others;Play Ground;Stadium;Unknown;
tp_land_number	;1;2;3;4;5;Unknown;
tp_land_obstacle_type	;Bridge;Divider;Flyover;Others;Over Bridges;Over head Foot Ways;Railway Level Crossing;Railway Under Bridges;Subways;Subways Under Rail tracks;Unknown;Water Tank;
tp_land_owner	;MTNL;Unknown;
tp_land_pincode	;760010;760011;Unknown;
tp_land_property	;No;Owned;Rented;Unknown;
tp_land_road_type	;Arterial Road;Expressway;Major Road;Minor Road;National Highway;Others;State Highway;Unknown;
