Enum Type Name	Enum Values
audit_history_event_types	Delete;Insert;Interface;Migrate;Replace;Unknown;Update;
co_easement_status	;Existing;Unknown;
co_easement_type	;Joint Use;Non Joint Use;Unknown;
co_note_type	Construction;Incident;Miscellaneous - not to be plotted;Miscellaneous - to be plotted;Safety;
cs_area_types	Unknown;
cs_line_types	Unknown;
cs_point_types	Unknown;
cs_status_type	Abandoned;Existing;Inactive;Proposed;Proposed Abandon;Proposed Remove;Proposed Replace;Removed;Temporary;Unknown;
cs_text_types	Unknown;
data_correction_status	Closed;Open;Pending;Unknown;
drawing_function_evaluation	On Insert;Post-Redraw;Pre-Redraw;
drawing_orientation	Landscape;Portrait;
drawing_scale	1:1;1:10;1:100;1:1000;1:16;1:25;1:250;1:32;1:4;1:50;1:500;1:64;1:8;
dunits_descr	10*Nanometre;100*Nanometre;Centimetre;Decimetre;Feet;Hectometre;Kilometre;Metre;Micrometre;Millimetre;Nanometre;inch;
ed_access_count	;1;2;3;4;Unknown;
ed_access_type	;Door;Grate;Manhole Cover;Slab;Unknown;
ed_box_pad_usage	;Feedthru;Foundation;Loop;N/A;Unknown;
ed_cabinet_rated_voltage	;15 kV;25 kV;35 kV;Unknown;
ed_cabinet_type	;1 Phase Feed Thru;1 Phase Loop/No Elbows;1 Phase S-Mod/3 Way;3 Phase Feed Thru;3 Phase Loop/No Elbows;3 Phase S-Mod/3 Way;Fuse Cabinet;Submersible Fuse Compartment;Transclosure;Unknown;
ed_conduit_material	;Concrete;Fiberglass;PE;PVC;Steel;Unknown;
ed_conduit_measurement_type	;Center to Center;Face to Face;Unknown;
ed_conduit_size	;0.5 Inch;0.75  Inch;1 Inch;1.25  Inch;1.5  Inch;2  Inch;2.5  Inch;3  Inch;3.5  Inch;4 Inch;5 Inch;6 Inch;Unknown;
ed_conduit_status	;Blocked;Capped;Occupied;Unknown;Vacant;
ed_cross_arm_size	;Unknown;
ed_cust_station_style_subcode	;Abandoned;Existing;Inactive;Proposed Abandon;Proposed Install;Proposed Relocate;Proposed Remove;Proposed Replace;Removed;Temporary;
ed_customer_station_type	;F-Bay;Other;Simplified;Unknown;
ed_decorative_pole_finish	;Brushed;Concrete Sealer;Galvanized;None;Other;Painted;Satin;Unknown;
ed_decorative_pole_foundation	;Anchor Base;Direct Bury;Unknown;
ed_decorative_pole_height	;10 Feet;10.5 Feet;11 Feet;11.5 Feet;12 Feet;12.5 Feet;13 Feet;13.5 Feet;14 Feet;14.5 Feet;15 Feet;15.5 Feet;16 Feet;16.5 Feet;17 Feet;17.5 Feet;18 Feet;18.5 Feet;19 Feet;19.5 Feet;20 Feet;20.5 Feet;21 Feet;21.5 Feet;22 Feet;22.5 Feet;23 Feet;23.5 Feet;24 Feet;24.5 Feet;25 Feet;25.5 Feet;26 Feet;26.5 Feet;27 Feet;27.5 Feet;28 Feet;28.5 Feet;29 Feet;29.5 Feet;30 Feet;30.5 Feet;31 Feet;31.5 Feet;32 Feet;32.5 Feet;33 Feet;33.5 Feet;34 Feet;34.5 Feet;35 Feet;35.5 Feet;36 Feet;36.5 Feet;37 Feet;37.5 Feet;38 Feet;38.5 Feet;39 Feet;39.5 Feet;40 Feet;40.5 Feet;41 Feet;41.5 Feet;42 Feet;42.5 Feet;43 Feet;43.5 Feet;44 Feet;44.5 Feet;45 Feet;8 Feet;8.5 Feet;9 Feet;9.5 Feet;Unknown;
ed_decorative_pole_receptacle	;External;Internal;None;Unknown;
ed_decorative_pole_style	;Fluted;Other;Smooth;Unknown;
ed_decorative_pole_type	;Hamilton;Other;Round Straight;Round Tapered;Square Straight;Traffic Signal;Unknown;Washington;
ed_duct_material	;Concrete;Steel Casing;Unknown;
ed_duct_type	;Duct;Duct Beam;Tunnel;Unknown;
ed_ec_bus_encl_style_subcode	;Abandoned;Existing;Inactive;Proposed Abandon;Proposed Install;Proposed Relocate;Proposed Remove;Proposed Replace;Removed;Temporary;
ed_fuse_size	;Unknown;
ed_guy_size	;1/2 Inch;12.5 Inch;3/8 Inch;5/16 Inch;7/16 Inch;Unknown;
ed_guy_type	;Down Guy;Side Walk;Span;Unknown;
ed_insulator_imp_strength	;100 KV;230 KV;44 KV;525 KV;55 KV;66 KV;Unknown;
ed_insulator_position	;Bottom;Center;Left;Middle;One;Three;Top;Two;Unknown;
ed_insulator_size	;10000;12500;15000;20000;25000;30000;36000;40000;50000;Unknown;
ed_insulator_type	;Clevis;Pin;Post;Unknown;
ed_junction_phase	;Single Phase;Three Phase;Unknown;
ed_junction_position	;3 Way;4 Way;Unknown;
ed_junction_style_subcode	;Abandoned;Existing;Inactive;Proposed Abandon;Proposed Install;Proposed Relocate;Proposed Remove;Proposed Replace;Removed;Temporary;
ed_light_mount_type	;Other;Side Mount/Mast Arm;Top Tenan;Unknown;
ed_manhole_type	;Manhole;Manhole Precase;Pullbox;Unknown;
ed_manhole_usage	;Distribution;Street Light;Transmission;Unknown;
ed_overhead_underground	;Overhead;Underground;Unknown;
ed_owner	;Company Owned;Customer Owned;Foreign Owned;Unknown;
ed_pad_material	;Aluminium;Concrete;Fiberglass;Polycrete;Precast;Steel;Unknown;
ed_pad_size	;2x2;2x3;3x3;3x4;4x4;Unknown;
ed_pad_type	;Boxpad;Pad;Polypad;Subsurface;Unknown;
ed_pedestal_type	;Meter;Secondary;Unknown;
ed_pit_usage	;Cable;Switchgear;Transformer;Unknown;
ed_point_of_attachment	;Centre;Left;Right;Unknown;
ed_pole_anchor_type	;Concrete;Double Helix;Expanding;Heavy Duty;Log;N/A;Rock;Single Helix;Slug;Swamp;Triple Helix;Unknown;
ed_pole_class	;0;1;2;3;4;5;6;7;8;9;H1;H2;H3;H4;Unknown;
ed_pole_color	;Black;Dark Bronze;Green;Grey;None;Other;Unknown;White;
ed_pole_foreign_attachment_kind	;Equipment;Power Supply;Unknown;Wire;
ed_pole_foreign_attachment_type	;BPL;Cable TV;Customer;Electric Utility;Fiber;Municipal;Other;Telecommunications;Unknown;
ed_pole_height	;100 Feet;105 Feet;110 Feet;115 Feet;120 Feet;125 Feet;130 Feet;135 Feet;25 Feet;30 Feet;35 Feet;40 Feet;45 Feet;50 Feet;55 Feet;60 Feet;65 Feet;70 Feet;75 Feet;80 Feet;85 Feet;90 Feet;95 Feet;Unknown;
ed_pole_material	;Aluminium;Concrete;Fiberglass;Steel;Unknown;Wood;
ed_pole_structure_type	;12' Platform;14' Platform;H Frame;Unknown;X Frame;
ed_pole_treatment	;ACA;ACZA;CCA;Creosote;CuN;Pentachlorophenol;Unknown;
ed_pole_use_code	;Guy Stub;Primary;Private Light;Public Light;Push Pole;Secondary;Unknown;
ed_reinforcement_type	;C Truss;Encasement;Fiberglass Wrap;Unknown;
ed_riser_material	;Unknown;
ed_riser_type	;Unknown;
ed_secondary_voltage	;120 V;120/208 V;120/240 V;240 V;240/480 V;265/460 V;277/480 V;460 V;480 V;575 V;Unknown;
ed_special_loading	;Multiple Delivery;No Special Loading;Primary Meter;Reserved for Future Use;Seasonal;Serves Only Company Equipment;Serves Only Lighting;Spare Transformer;Unknown;
ed_status	Abandoned;Existing;Inactive;Proposed Abandon;Proposed Install;Proposed Relocate;Proposed Remove;Proposed Replace;Removed;Temporary;
ed_strength	;10000 lbf;11400 lbf;1200 lbf;1500 lbf;1900 lbf;2400 lbf;3000 lbf;370 lbf;3700 lbf;4500 lbf;5400 lbf;6400 lbf;740 lbf;7500 lbf;8700 lbf;Unknown;
ed_structure_location_type	;Alley;Building;Parking Lot;Sidewalk;Street;Unknown;
ed_structure_material	;Brick;Concrete;Fiberglass;Plastic;Pre-Cast Concrete;Unknown;
ed_switchgear_rated_voltage	;Unknown;
ed_switchgear_type	;Unknown;
ed_trench_equipment_code	;12 Inch Backhoe (1.00);14 Inch Tesmec Trencher (1.17);18 Inch Backhoe (1.50);18 Inch Standard Backhoe (1.50);24 Inch Backhoe (2.00);36 Inch Bantom (3.00);4 Inch Ditch Witch Trencher (0.34);6 Inch Trencher (0.50);8 Inch Backhoe (0.67);Plow (0.50);Power Shovel Backhoe (2.00);Unknown;
ed_trench_lead_digger	;Company;Customer;Electric;Foreign;Foreign Gas;Telephone;Unknown;
ed_trench_soil_type	;City Street, Frozen;City Street, Mud;City Street, Normal;Clay, Frozen;Clay, Mud;Clay, Normal;Gravel, Frozen;Gravel, Mud;Gravel, Normal;Rock, Frozen;Rock, Mud;Rock, Normal;Sand, Frozen;Sand, Mud;Sand, Normal;Shale, Frozen;Shale, Mud;Shale, Normal;Unknown;
ed_trench_type	;Distribution;PAL;Service;Street Light;Subdivision;Supply;Unknown;
ed_ug_splice_usage	Primary;Secondary;
ed_vault_mount_type	;Above Ground;Below Ground;Unknown;
ed_wire_quantity	;Double;Single;Triple;Unknown;
ed_yes_or_no	;No;Unknown;Yes;
eo_3w_bank_configuration	;Delta-UnGrd/Delta-UnGrd/Delta-UnGrd;Delta-UnGrd/Delta-UnGrd/Wye-Grd;Delta-UnGrd/Delta-UnGrd/Wye-UnGrd;Delta-UnGrd/Wye-Grd/Delta-UnGrd;Delta-UnGrd/Wye-Grd/Wye-Grd;Delta-UnGrd/Wye-Grd/Wye-UnGrd;Delta-UnGrd/Wye-UnGrd/Delta-UnGrd;Delta-UnGrd/Wye-UnGrd/Wye-Grd;Delta-UnGrd/Wye-UnGrd/Wye-UnGrd;Phase-Grd/SWER/SWER;Phase-Grd/SWER/Split-Phase;Phase-Grd/Split-Phase/SWER;Phase-Phase-UnGrd/SWER/Split-Phase;Phase-Phase-UnGrd/Split-Phase/SWER;Unknown;Wye-Grd/Delta-UnGrd/Delta-UnGrd;Wye-Grd/Delta-UnGrd/Wye-Grd;Wye-Grd/Delta-UnGrd/Wye-UnGrd;Wye-Grd/Wye-Grd/Delta-UnGrd;Wye-Grd/Wye-Grd/Wye-Grd;Wye-Grd/Wye-Grd/Wye-UnGrd;Wye-Grd/Wye-UnGrd/Delta-UnGrd;Wye-Grd/Wye-UnGrd/Wye-Grd;Wye-Grd/Wye-UnGrd/Wye-UnGrd;Wye-UnGrd/Delta-UnGrd/Delta-UnGrd;Wye-UnGrd/Delta-UnGrd/Wye-Grd;Wye-UnGrd/Delta-UnGrd/Wye-UnGrd;Wye-UnGrd/Wye-Grd/Delta-UnGrd;Wye-UnGrd/Wye-Grd/Wye-Grd;Wye-UnGrd/Wye-Grd/Wye-UnGrd;Wye-UnGrd/Wye-UnGrd/Delta-UnGrd;Wye-UnGrd/Wye-UnGrd/Wye-Grd;Wye-UnGrd/Wye-UnGrd/Wye-UnGrd;
eo_3w_xfrmr_ctrl_device_type	;Unknown;
eo_access_point_type	;Cover;Grate;Unknown;
eo_accurate_route_style_sc	Contains conduit;No conduit;Unknown;
eo_accurate_route_type	Bore;Duct Line;Road Crossing;Trench;Unknown;
eo_annotation_type	Circuit;Flow Direction;Material;Name;Next structure;Phase;Remarks;Size;Size Material;Unknown;Voltage;
eo_assigned_terr_type	Co-op;Company;Investor Owned Utility;Municipality;Unassigned;Unknown;
